Student,LPIPS,SSIM
113590011.png,0.0,1.0
112590454.png,0.3045627474784851,0.5808765806822287
113AC1012.png,0.3334009051322937,0.5889661394884028
113590031.png,0.34113267064094543,0.6237141226142427
113590059.png,0.3529922068119049,0.5572519332921474
113590018.png,0.36130955815315247,0.5592111243670143
113590057.png,0.36197149753570557,0.617798961110133
113590045.png,0.3672165274620056,0.5328050397974243
113590028.png,0.368342787027359,0.5274185805226294
113590003.png,0.36855435371398926,0.608898281288162
113590051.png,0.3721473515033722,0.6029649532243384
113590052.png,0.3770844638347626,0.5499534221002648
113590002.png,0.37721821665763855,0.5854423986729675
113590023.png,0.37932395935058594,0.5211093108382322
113590044.png,0.3798644244670868,0.566980828209913
113590001.png,0.38770443201065063,0.564351797993484
112590455.png,0.3877928853034973,0.582729566621226
113590015.png,0.387851744890213,0.5826213756436678
113590026.png,0.3882901966571808,0.6362035112225028
113370239.png,0.3885851204395294,0.605749364395378
113590006.png,0.3910318911075592,0.5149042152738532
110590455.png,0.3914376199245453,0.5934777619559771
113590021.png,0.39272400736808777,0.538180156689244
114054809.png,0.3989641070365906,0.5760834241180907
113590022.png,0.3997478187084198,0.5567694416667512
111590028.png,0.40202680230140686,0.6218675581045321
113590062.png,0.4028373658657074,0.5425119434245528
111590047.png,0.4029369056224823,0.6182735897804393
113590049.png,0.4099968671798706,0.46912021614305993
112590040.png,0.4112955927848816,0.5180187681915698
113590042.png,0.42588770389556885,0.5737735012426869
111590455.png,0.4360448122024536,0.5534917947214415
113590008.png,0.4582311511039734,0.4402922906649305
113590010.png,0.47721755504608154,0.5424176184907534
113590047.png,0.4887506067752838,0.629948932262572
113590004.png,0.4912351965904236,0.6332751306156883
113590043.png,0.5019031167030334,0.65450107826041
113590025.png,0.5046594142913818,0.6561082198123469
111590042.png,0.52321457862854,0.6714986929427993
